name,byte0,byte1,byte2,byte3,byte4,byte5,byte6,crc8,meaning
GET_SNAPSHOT,A5,01,81,00,00,00,00,5D,Master requests coherent state
SNAPSHOT_BEGIN,A5,01,10,06,34,12,00,D9,Sequence 0x1234 begins with six controls
PARAM_STATE_EN1,A5,01,01,00,00,00,00,CA,EN1 value 0
PARAM_STATE_EN2,A5,01,01,01,0C,00,00,26,EN2 value 12
PARAM_STATE_EN3,A5,01,01,02,FD,FF,FF,3F,EN3 value -3
PARAM_STATE_EN4,A5,01,01,03,7F,00,00,D0,EN4 value 127
PARAM_STATE_EN5,A5,01,01,04,80,FF,FF,BD,EN5 value -128
PARAM_STATE_EN6,A5,01,01,05,00,04,00,D0,EN6 value 1024
BUTTON_STATE,A5,01,02,00,2A,08,06,12,EN2 EN4 EN6 pressed and EN4 long-held
SNAPSHOT_END,A5,01,11,06,34,12,00,BB,Sequence 0x1234 ends
